model,ens,exp,postprocess,table,varn,period,mean
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,2.15
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.76
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.53
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.31
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.42
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.95
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.60
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.14
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.38
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.53
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.19
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.99
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.73
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.22
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.64
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.59
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,0.98
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.27
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.25
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.90
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2021-2040,1.69
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.23
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.88
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.85
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.60
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.70
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.30
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.81
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.31
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.35
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.66
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.26
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.20
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.03
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.51
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.76
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.73
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.19
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.47
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.41
bcc-csm1-1-m,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,2.03
bcc-csm1-1,r1i1p1,rcp26,global_mean,Amon,tas,2041-2060,1.76
BNU-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.23
CCSM4,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.84
CESM1-CAM5,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.01
CNRM-CM5,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.66
CSIRO-Mk3-6-0,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.95
CanESM2,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.31
EC-EARTH,r8i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.86
FGOALS-g2,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.13
FIO-ESM,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,0.87
GISS-E2-H,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.58
GISS-E2-R,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.06
IPSL-CM5A-LR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,2.31
IPSL-CM5A-MR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.95
MIROC5,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.51
MPI-ESM-LR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.62
MPI-ESM-MR,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.65
MRI-CGCM3,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.38
NorESM1-ME,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.50
NorESM1-M,r1i1p1,rcp26,global_mean,Amon,tas,2081-2100,1.43
